second,Volt,Volt,Volt,Volt4
-0.4,-0.072362,-0.009208,7.025754,0.009617
-0.395,-0.084925,-0.009208,9.827261,0.009617
-0.39,-0.072362,-0.004685,6.209171,0.010496
-0.385,-0.0799,0.006872,2.427764,0.009994
-0.38,-0.11005,-0.008706,-1.02701,0.009742
-0.375,-0.084925,-0.011721,-4.50691,0.010245
-0.37,-0.072362,-0.013731,-8.175251,0.010747
-0.365,-0.112563,-0.001168,-10.273241,0.009617
-0.36,-0.11005,-0.008706,-6.642588,0.009617
-0.355,-0.072362,-0.009208,-2.974246,0.009617
-0.35,-0.072362,-0.009208,0.694095,0.010747
-0.345,-0.0799,0.00034,4.199121,0.011627
-0.34,-0.11005,-0.009208,7.817211,0.009742
-0.335,-0.072362,-0.011721,9.023241,0.009617
-0.33,-0.08995,-0.009208,5.292085,0.010747
-0.325,-0.0799,-0.001168,1.78706,0.011627
-0.32,-0.072362,-0.009208,-1.83103,0.009742
-0.315,-0.084925,-0.009208,-5.449121,0.009617
-0.31,-0.072362,-0.009208,-8.979271,0.010747
-0.305,-0.105025,-0.001168,-9.305905,0.009617
-0.3,-0.072362,-0.009208,-5.650126,0.011501
-0.295,-0.072362,-0.017248,-2.032035,0.009617
-0.29,-0.072362,-0.009208,1.498116,0.010496
-0.285,-0.0799,-0.001168,5.166457,0.00924
-0.28,-0.074874,-0.009208,8.633794,0.009617
-0.275,-0.072362,-0.009208,8.156407,0.009617
-0.27,-0.094975,-0.009208,4.400126,0.008486
-0.265,-0.072362,-0.001168,0.819724,0.009617
-0.26,-0.072362,-0.00167,-2.63505,0.011501
-0.255,-0.072362,-0.009208,-6.315955,0.009617
-0.25,-0.08995,-0.009208,-9.783292,0.009617
-0.245,-0.0799,-0.001168,-8.464196,0.009617
-0.24,-0.072362,-0.001168,-4.833543,0.009617
-0.235,-0.072362,-0.014736,-1.165201,0.010371
-0.23,-0.072362,-0.012726,2.302136,0.010747
-0.225,-0.072362,-0.001168,6.008166,0.009994
-0.22,-0.074874,-0.001168,9.626256,0.007732
-0.215,-0.1,-0.009208,7.214196,0.008235
-0.21,-0.072362,-0.009208,3.596106,0.010747
-0.205,-0.072362,-0.001168,0.015704,0.009617
-0.2,-0.072362,-0.009208,-3.451633,0.009617
-0.195,-0.1,-0.011721,-7.119975,0.008863
-0.19,-0.072362,-0.009208,-10.675251,0.010747
-0.185,-0.072362,-0.001168,-7.660176,0.00924
-0.18,-0.072362,-0.00167,-3.84108,0.011501
-0.175,-0.084925,-0.009208,-0.361181,0.008235
-0.17,-0.072362,-0.009208,3.194096,0.009617
-0.165,-0.105025,0.005365,6.812186,0.009617
-0.16,-0.11005,-0.009208,10.028266,0.011627
-0.155,-0.072362,-0.009208,6.410176,0.010245
-0.15,-0.112563,-0.009208,2.880025,0.008486
-0.145,-0.0799,-0.001168,-0.788317,0.007984
-0.14,-0.112563,-0.009208,-4.444096,0.009742
-0.135,-0.1,-0.014736,-7.923995,0.009617
-0.13,-0.112563,-0.009208,-10.273241,0.009617
-0.125,-0.072362,-0.002675,-6.692839,0.009617
-0.12,-0.072362,-0.001168,-3.03706,0.009617
-0.115,-0.1,-0.017248,0.380025,0.008989
-0.11,-0.072362,-0.012726,3.998116,0.009617
-0.105,-0.072362,-0.001168,7.616206,0.007984
-0.1,-0.11005,-0.008706,9.211683,0.009742
-0.095,-0.072362,-0.009208,5.543342,0.009617
-0.09,-0.072362,-0.009208,1.875,0.009617
-0.085,-0.0799,-0.002675,-1.466709,0.009617
-0.08,-0.11005,-0.009208,-5.059673,0.009617
-0.075,-0.072362,-0.009208,-8.728015,0.009617
-0.07,-0.094975,-0.013731,-9.469221,0.010747
-0.065,-0.0799,0.00034,-5.888819,0.01125
-0.06,-0.11005,-0.008706,-2.220477,0.011501
-0.055,-0.112563,-0.009208,1.309673,0.009617
-0.05,-0.072362,-0.012726,4.915201,0.010496
-0.045,-0.112563,-0.001168,8.583543,0.009617
-0.04,-0.072362,-0.009208,8.219221,0.009617
-0.035,-0.072362,-0.009208,4.601131,0.009617
-0.03,-0.072362,-0.013731,0.98304,0.009617
-0.025,-0.072362,-0.001168,-2.434045,0.01125
-0.02,-0.072362,-0.00167,-6.253141,0.009617
-0.015,-0.072362,-0.009208,-9.73304,0.010245
-0.01,-0.072362,-0.004685,-8.753141,0.010496
-0.005,-0.0799,-0.001168,-4.883794,0.009617
0,-0.074874,-0.009208,-1.416457,0.009617
0.005,-0.072362,-0.009208,2.18907,0.009617
0.01,-0.072362,-0.009208,5.719221,0.009617
0.015,-0.112563,-0.001168,9.387563,0.01125
0.02,-0.11005,-0.009208,7.415201,0.009617
0.025,-0.072362,-0.009208,3.935302,0.009617
0.03,-0.08995,-0.009208,0.17902,0.009617
0.035,-0.072362,-0.001168,-3.238065,0.009617
0.04,-0.072362,-0.001168,-6.868719,0.009617
0.045,-0.084925,-0.009208,-10.53706,0.009617
0.05,-0.072362,-0.013731,-7.861181,0.009617
0.055,-0.072362,-0.001168,-4.079774,0.007984
0.06,-0.034673,-0.009208,-0.612437,0.009617
0.065,-0.072362,-0.011721,2.917714,0.010245
0.07,-0.072362,-0.009208,6.523241,0.008737
0.075,-0.072362,0.00034,10.028266,0.00924
0.08,-0.072362,-0.00167,6.611181,0.009742
0.085,-0.1,-0.009208,2.8549,0.008235
0.09,-0.08995,-0.009208,-0.53706,0.009617
0.095,-0.072362,-0.001168,-4.079774,0.009617
0.1,-0.072362,-0.009208,-7.672739,0.009617
0.105,-0.072362,-0.017248,-10.474246,0.009617
0.11,-0.094975,-0.009208,-6.944096,0.009617
0.115,-0.0799,-0.001168,-3.275754,0.009617
0.12,-0.074874,-0.00167,0.191583,0.009742
0.125,-0.072362,-0.009208,3.859925,0.008989
0.13,-0.08995,-0.009208,7.503141,0.009617
0.135,-0.072362,0.005365,9.425251,0.00924
0.14,-0.072362,-0.008706,5.794598,0.007732
0.145,-0.1,-0.009208,2.126256,0.009617
0.15,-0.072362,-0.010213,-1.42902,0.010496
0.155,-0.0799,-0.001168,-5.047111,0.009617
0.16,-0.072362,-0.008706,-8.665201,0.009491
0.165,-0.084925,-0.014736,-9.670226,0.008989
0.17,-0.072362,-0.009208,-6.140075,0.009617
0.175,-0.0799,-0.001168,-2.471734,0.009617
0.18,-0.112563,-0.009208,0.995603,0.009617
0.185,-0.072362,-0.009208,4.802136,0.009617
0.19,-0.072362,-0.009208,8.219221,0.009617
0.195,-0.072362,-0.001168,8.457915,0.00924
0.2,-0.072362,-0.00167,4.802136,0.009617
0.205,-0.072362,-0.009208,1.322236,0.009617
0.21,-0.072362,-0.009208,-2.23304,0.008737
0.215,-0.072362,-0.001168,-5.851131,0.009994
0.22,-0.074874,-0.008706,-9.469221,0.009617
0.225,-0.072362,-0.009208,-8.803392,0.009617
0.23,-0.072362,-0.00569,-5.248116,0.010747
0.235,-0.0799,-0.001168,-1.667714,0.009994
0.24,-0.11005,-0.008706,1.988065,0.009617
0.245,-0.112563,-0.011721,5.467965,0.009617
0.25,-0.112563,-0.009208,9.224246,0.009617
0.255,-0.072362,-0.001168,7.653895,0.009617
0.26,-0.072362,-0.001168,3.998116,0.011501
0.265,-0.1,-0.009208,0.518216,0.010245
0.27,-0.072362,-0.009208,-3.062186,0.008486
0.275,-0.072362,-0.001168,-6.655151,0.010873
0.28,-0.072362,-0.009208,-10.285804,0.009491
0.285,-0.072362,-0.009208,-8.062186,0.009617
0.29,-0.072362,-0.009208,-4.33103,0.011627
0.295,-0.072362,0.005365,-0.826005,0.009994
0.3,-0.074874,-0.008706,2.804648,0.009617
0.305,-0.1,-0.009208,6.410176,0.009617
0.31,-0.072362,-0.009208,9.940327,0.009617
0.315,-0.105025,0.005365,6.812186,0.009617
0.32,-0.072362,-0.008706,3.194096,0.009742
0.325,-0.084925,-0.009208,-0.423995,0.009617
0.33,-0.08995,-0.009208,-3.954146,0.009617
0.335,-0.072362,0.005365,-7.622487,0.009617
0.34,-0.072362,-0.009208,-10.675251,0.009617
0.345,-0.072362,-0.017248,-7.057161,0.009617
0.35,-0.072362,-0.009208,-3.52701,0.009617
0.355,-0.072362,-0.002675,-0.059673,0.009617
0.36,-0.11005,-0.009208,3.407663,0.007858
0.365,-0.072362,-0.009208,7.415201,0.009617
0.37,-0.072362,-0.009208,9.513191,0.009617
0.375,-0.072362,-0.001168,5.844849,0.009617
0.38,-0.072362,-0.001168,2.565955,0.009617
0.385,-0.112563,-0.009208,-1.02701,0.009617
0.39,-0.072362,-0.009208,-4.645101,0.009617
0.395,-0.0799,-0.001168,-8.426508,0.009617
0.4,-0.072362,-0.016243,-9.871231,0.007732
0.405,-0.1,-0.017248,-6.391332,0.009617
0.41,-0.08995,-0.009208,-2.63505,0.010747
0.415,-0.072362,0.006872,0.782035,0.00924
0.42,-0.072362,-0.00167,4.412688,0.011627
0.425,-0.072362,-0.014736,8.08103,0.009617
0.43,-0.08995,-0.009208,8.709171,0.009617
0.435,-0.112563,-0.001168,5.040829,0.009617
0.44,-0.072362,-0.009208,1.573492,0.009617
0.445,-0.072362,-0.009208,-2.032035,0.008989
0.45,-0.08995,-0.009208,-5.562186,0.009617
0.455,-0.0799,-0.001168,-9.431533,0.007984
0.46,-0.072362,-0.00167,-9.054648,0.009742
0.465,-0.1,-0.014736,-5.449121,0.008989
0.47,-0.072362,-0.009208,-1.83103,0.009617
0.475,-0.0799,-0.001168,1.586055,0.008361
0.48,-0.072362,-0.009208,5.216709,0.009617
0.485,-0.072362,-0.009208,8.88505,0.009617
0.49,-0.094975,-0.009208,7.905151,0.010496
0.495,-0.072362,-0.002675,4.236809,0.01125
0.5,-0.072362,-0.001168,0.58103,0.009617
0.505,-0.084925,-0.011721,-2.836055,0.010999
0.51,-0.072362,-0.009208,-6.454146,0.009617
0.515,-0.072362,-0.001168,-10.072236,0.009617
0.52,-0.074874,-0.00167,-8.250628,0.009617
0.525,-0.084925,-0.014736,-4.582286,0.009617
0.53,-0.08995,-0.013731,-1.02701,0.009617
0.535,-0.0799,-0.001168,2.59108,0.009617
0.54,-0.072362,-0.008706,6.020729,0.009617
0.545,-0.1,-0.009208,9.68907,0.009617
0.55,-0.072362,-0.009208,7.013191,0.009617
0.555,-0.072362,-0.001168,3.432789,0.009617
0.56,-0.074874,-0.009208,-0.22299,0.009617
0.565,-0.072362,-0.009208,-3.702889,0.010999
0.57,-0.08995,-0.009208,-7.258166,0.007607
0.575,-0.105025,-0.002675,-10.876256,0.009617
0.58,-0.072362,-0.00167,-7.446608,0.011501
0.585,-0.072362,-0.014736,-3.778266,0.009617
0.59,-0.072362,-0.009208,-0.109925,0.008737
0.595,-0.072362,-0.0077,3.357412,0.009617
0.6,-0.072362,-0.009208,6.837312,0.009617
0.605,-0.084925,-0.009208,9.764447,0.010371
0.61,-0.08995,-0.013731,6.209171,0.009617
0.615,-0.072362,-0.001168,2.59108,0.00924
0.62,-0.11005,-0.008706,-0.838568,0.009617
0.625,-0.072362,-0.009208,-4.645101,0.009617
0.63,-0.072362,-0.013731,-8.175251,0.010747
0.635,-0.0799,-0.001168,-10.109925,0.009617
0.64,-0.074874,-0.008706,-6.642588,0.009617
0.645,-0.072362,-0.009208,-2.836055,0.009617
0.65,-0.072362,-0.009208,0.694095,0.009366
0.655,-0.0799,-0.001168,4.199121,0.009617
0.66,-0.112563,-0.00167,7.817211,0.011376
0.665,-0.072362,-0.009208,8.960427,0.009617
0.67,-0.072362,-0.009208,5.292085,0.009617
0.675,-0.072362,-0.001168,1.78706,0.01125
0.68,-0.11005,-0.00167,-1.843593,0.009617
0.685,-0.072362,-0.017248,-5.511935,0.009617
0.69,-0.08995,-0.009208,-8.979271,0.008486
0.695,-0.105025,-0.001168,-9.268216,0.01125
0.7,-0.034673,-0.008706,-5.838568,0.009617
0.705,-0.112563,-0.011721,-1.969221,0.008989
0.71,-0.072362,-0.013731,1.498116,0.009617
0.715,-0.072362,-0.001168,5.166457,0.009617
0.72,-0.074874,-0.00167,8.822236,0.009617
0.725,-0.1,-0.00368,8.018216,0.009617
0.73,-0.072362,-0.009208,4.601131,0.009617
0.735,-0.0799,-0.001168,0.857412,0.01125
0.74,-0.072362,-0.009208,-2.823492,0.011501
0.745,-0.1,-0.009208,-6.11495,0.009617
0.75,-0.072362,-0.009208,-9.871231,0.009617
0.755,-0.072362,0.005365,-8.300879,0.009617
0.76,-0.112563,-0.008706,-4.833543,0.007732
0.765,-0.072362,-0.009208,-1.165201,0.010999
0.77,-0.112563,-0.009208,2.302136,0.010747
0.775,-0.072362,0.005365,5.807161,0.009617
0.78,-0.11005,-0.008706,9.626256,0.007607
0.785,-0.072362,-0.014736,7.352387,0.008989
0.79,-0.072362,-0.009208,3.684045,0.009617
0.795,-0.0799,-0.001168,0.17902,0.00924
0.8,-0.11005,-0.008706,-3.451633,0.007732
0.805,-0.084925,-0.014736,-7.119975,0.009617
0.81,-0.072362,-0.009208,-10.788317,0.009617
0.815,-0.072362,-0.002675,-7.660176,0.009617
0.82,-0.072362,-0.008706,-4.029523,0.009491
0.825,-0.084925,-0.009208,-0.361181,0.009617
0.83,-0.072362,-0.009208,3.08103,0.010496
0.835,-0.105025,-0.001168,6.812186,0.01125
0.84,-0.072362,-0.009208,10.015704,0.009617
0.845,-0.1,-0.017248,6.548367,0.010245
0.85,-0.072362,-0.009208,2.76696,0.009617
0.855,-0.072362,-0.001168,-0.625,0.007984
0.86,-0.072362,-0.00167,-4.255653,0.011501
0.865,-0.1,-0.00368,-7.923995,0.009617
0.87,-0.072362,-0.009208,-10.361181,0.009617
0.875,-0.0799,-0.001168,-6.692839,0.009617
0.88,-0.072362,-0.009208,-3.03706,0.011501
0.885,-0.084925,-0.011721,0.304648,0.009617
0.89,-0.094975,-0.012726,3.998116,0.010496
0.895,-0.105025,-0.001168,7.779523,0.009617
0.9,-0.074874,-0.009208,9.211683,0.009617
0.905,-0.072362,-0.009208,5.543342,0.009617
0.91,-0.072362,-0.012726,1.96294,0.009617
0.915,-0.072362,-0.001168,-1.592337,0.009617
0.92,-0.072362,-0.009208,-5.059673,0.009491
0.925,-0.072362,-0.009208,-8.866206,0.010999
0.93,-0.112563,-0.00569,-9.469221,0.010747
0.935,-0.072362,-0.001168,-5.851131,0.007984
0.94,-0.074874,-0.009208,-2.220477,0.009617
0.945,-0.072362,-0.009208,1.246859,0.009617
0.95,-0.112563,-0.009208,4.915201,0.010496
0.955,-0.0799,-0.001168,8.420226,0.009617
0.96,-0.072362,-0.008706,8.219221,0.009617
0.965,-0.072362,-0.009208,4.739322,0.007607
0.97,-0.08995,-0.009208,1.184045,0.010496
0.975,-0.105025,0.005365,-2.434045,0.009617
0.98,-0.074874,-0.008706,-6.064699,0.009742
0.985,-0.084925,-0.009208,-9.532035,0.009617
0.99,-0.08995,-0.009208,-8.665201,0.009617
0.995,-0.072362,-0.001168,-5.084799,0.009617
1,-0.072362,-0.001168,-1.228015,0.011376
1.005,-0.072362,-0.011721,2.18907,0.009617
1.01,-0.072362,-0.009208,5.807161,0.008737
1.015,-0.072362,-0.001168,9.387563,0.009617
1.02,-0.11005,-0.009208,7.415201,0.009617
1.025,-0.072362,-0.009208,3.935302,0.009617
1.03,-0.094975,-0.010213,0.26696,0.008737
1.035,-0.0799,-0.001168,-3.238065,0.009617
1.04,-0.11005,-0.008706,-7.044598,0.007732
1.045,-0.084925,-0.009208,-10.612437,0.009617
1.05,-0.112563,-0.009208,-7.748116,0.008486
1.055,-0.072362,-0.0077,-4.079774,0.009617
1.06,-0.072362,-0.001168,-0.625,0.011501
1.065,-0.072362,-0.009208,2.917714,0.008235
1.07,-0.072362,-0.009208,6.611181,0.008486
1.075,-0.072362,-0.0077,10.229271,0.009617
1.08,-0.074874,-0.00167,6.598618,0.009617
1.085,-0.072362,-0.014736,2.930276,0.011627
1.09,-0.08995,-0.00569,-0.625,0.010747
1.095,-0.072362,-0.001168,-4.205402,0.009617
1.1,-0.072362,-0.008706,-7.672739,0.009742
1.105,-0.072362,-0.009208,-10.612437,0.009617
1.11,-0.072362,-0.009208,-6.944096,0.008486
1.115,-0.105025,-0.001168,-3.275754,0.00924
1.12,-0.072362,-0.001168,0.191583,0.009617
1.125,-0.072362,-0.009208,3.859925,0.009617
1.13,-0.072362,-0.009208,7.528266,0.008737
1.135,-0.0799,-0.001168,9.46294,0.008361
1.14,-0.072362,-0.009208,5.794598,0.009617
1.145,-0.072362,-0.009208,2.18907,0.009617
1.15,-0.072362,-0.013731,-1.454146,0.009868
1.155,-0.0799,-0.001168,-5.009422,0.01125
1.16,-0.074874,-0.009208,-8.665201,0.009617
1.165,-0.1,-0.014736,-9.808417,0.009617
1.17,-0.072362,-0.009208,-6.140075,0.009617
1.175,-0.0799,-0.001168,-2.471734,0.007984
1.18,-0.072362,-0.008706,1.184045,0.009617
1.185,-0.084925,-0.009208,4.663945,0.009617
1.19,-0.072362,-0.013731,8.332287,0.009617
1.195,-0.072362,0.005365,8.457915,0.006351
1.2,-0.11005,-0.00167,4.990578,0.009742
1.205,-0.112563,-0.009208,1.38505,0.008989
1.21,-0.072362,-0.013731,-2.23304,0.008737
1.215,-0.072362,0.005365,-5.813442,0.01125
1.22,-0.074874,-0.009208,-9.481784,0.009491
1.225,-0.072362,-0.014736,-8.803392,0.009617
1.23,-0.08995,-0.009208,-5.248116,0.009617
1.235,-0.072362,0.005365,-1.630025,0.009617
1.24,-0.072362,-0.009208,1.988065,0.009617
1.245,-0.072362,-0.009208,5.467965,0.008989
1.25,-0.072362,-0.009208,9.136307,0.010496
1.255,-0.072362,0.005365,7.653895,0.009617
1.26,-0.11005,-0.009208,3.985553,0.009617
1.265,-0.1,-0.009208,0.518216,0.009617
1.27,-0.072362,-0.009208,-3.150126,0.010747
1.275,-0.072362,-0.001168,-6.655151,0.009617
1.28,-0.11005,-0.009208,-10.285804,0.009491
1.285,-0.072362,-0.009208,-7.999372,0.009617
1.29,-0.112563,-0.009208,-4.24309,0.008737
1.295,-0.072362,-0.001168,-0.826005,0.007984
1.3,-0.072362,-0.008706,2.616206,0.009617
1.305,-0.084925,-0.011721,6.410176,0.010999
1.31,-0.072362,-0.009208,10.141332,0.009617
1.315,-0.0799,-0.001168,6.849874,0.010873
1.32,-0.072362,-0.008706,3.382538,0.009617
1.325,-0.072362,-0.011721,-0.423995,0.009617
1.33,-0.072362,-0.009208,-4.042085,0.009617
1.335,-0.112563,0.005365,-7.584799,0.007984
1.34,-0.072362,-0.009208,-10.863694,0.009617
1.345,-0.072362,-0.017248,-7.195352,0.008989
1.35,-0.094975,-0.004685,-3.52701,0.009617
1.355,-0.072362,-0.0077,-0.021985,0.008361
1.36,-0.074874,-0.00167,3.420226,0.009617
1.365,-0.084925,-0.017248,7.27701,0.009617
1.37,-0.072362,-0.009208,9.626256,0.009617
1.375,-0.0799,0.00034,6.008166,0.009617
1.38,-0.074874,-0.008706,2.377513,0.009742
1.385,-0.084925,-0.014736,-1.089824,0.008989
1.39,-0.072362,-0.012726,-4.758166,0.009617
1.395,-0.105025,-0.001168,-8.426508,0.009617
1.4,-0.072362,-0.009208,-9.871231,0.009617
1.405,-0.1,-0.009208,-6.190327,0.008235
1.41,-0.072362,-0.009208,-2.72299,0.008486
1.415,-0.0799,-0.001168,0.782035,0.009617
1.42,-0.072362,-0.009208,4.412688,0.009617
1.425,-0.072362,-0.011721,8.018216,0.008235
1.43,-0.072362,-0.009208,8.709171,0.009617
1.435,-0.072362,-0.001168,5.040829,0.009617
1.44,-0.074874,-0.009208,1.573492,0.009617
1.445,-0.072362,-0.009208,-1.893844,0.009617
1.45,-0.112563,-0.009208,-5.562186,0.009617
1.455,-0.072362,-0.001168,-9.230528,0.00924
1.46,-0.11005,-0.008706,-9.054648,0.009617
1.465,-0.072362,-0.009208,-5.449121,0.009617
1.47,-0.08995,-0.009208,-1.83103,0.009617
1.475,-0.072362,-0.001168,1.749372,0.009617
1.48,-0.11005,-0.009208,5.405151,0.007732
1.485,-0.072362,-0.011721,8.88505,0.010245
1.49,-0.072362,-0.009208,8.018216,0.010747
1.495,-0.072362,0.005365,4.362437,0.01125
1.5,-0.074874,-0.00167,0.58103,0.009491
1.505,-0.072362,-0.009208,-2.898869,0.010245
1.51,-0.072362,-0.009208,-6.567211,0.010747
1.515,-0.072362,-0.001168,-10.072236,0.01125
1.52,-0.072362,-0.009208,-8.250628,0.009491
1.525,-0.1,-0.009208,-4.582286,0.010245
1.53,-0.094975,-0.009208,-1.02701,0.009617
1.535,-0.0799,-0.001168,2.59108,0.009617
1.54,-0.072362,-0.009208,6.221734,0.009617
1.545,-0.1,-0.017248,9.751885,0.010245
1.55,-0.072362,-0.00569,7.013191,0.011627
1.555,-0.112563,0.005365,3.395101,0.01125
1.56,-0.072362,-0.008706,-0.22299,0.009617
1.565,-0.1,-0.009208,-3.702889,0.010245
1.57,-0.08995,-0.009208,-7.258166,0.010496
1.575,-0.072362,-0.001168,-10.913945,0.009617
1.58,-0.11005,-0.009208,-7.434045,0.011627
1.585,-0.1,-0.017248,-3.640075,0.010999
1.59,-0.094975,-0.009208,-0.197864,0.009617
1.595,-0.0799,-0.001168,3.357412,0.009617
1.6,-0.072362,-0.009208,7.013191,0.009491
1.605,-0.084925,-0.009208,9.626256,0.008989
1.61,-0.08995,-0.009208,6.322236,0.011627
1.615,-0.105025,0.00034,2.59108,0.009617
1.62,-0.074874,-0.009208,-0.838568,0.011627
1.625,-0.1,-0.009208,-4.645101,0.009617
1.63,-0.094975,-0.009208,-8.175251,0.010496
1.635,-0.072362,0.003857,-10.109925,0.009617
1.64,-0.072362,-0.009208,-6.454146,0.011627
1.645,-0.1,-0.009208,-2.974246,0.010999
1.65,-0.072362,-0.012726,0.606156,0.010747
1.655,-0.072362,-0.001168,4.236809,0.009617
1.66,-0.072362,-0.009208,8.005653,0.009742
1.665,-0.112563,-0.009208,8.960427,0.009617
1.67,-0.072362,-0.009208,5.292085,0.011627
1.675,-0.072362,-0.001168,1.661432,0.009617
1.68,-0.072362,-0.008706,-1.83103,0.009742
1.685,-0.072362,-0.009208,-5.31093,0.010245
1.69,-0.08995,-0.009208,-9.067211,0.010496
1.695,-0.112563,-0.001168,-9.268216,0.009617
1.7,-0.072362,-0.009208,-5.637563,0.011501
1.705,-0.072362,-0.011721,-2.032035,0.009617
1.71,-0.094975,-0.009208,1.586055,0.010496
1.715,-0.105025,-0.001168,5.003141,0.01125
1.72,-0.11005,-0.009208,8.822236,0.011627
1.725,-0.1,-0.009208,8.156407,0.010245
1.73,-0.08995,-0.009208,4.488065,0.009617
1.735,-0.0799,-0.001168,0.819724,0.01125
1.74,-0.112563,-0.009208,-2.63505,0.009742
1.745,-0.084925,-0.009208,-6.253141,0.009617
1.75,-0.072362,-0.009208,-9.871231,0.011627
1.755,-0.112563,0.005365,-8.300879,0.011627
1.76,-0.112563,-0.009208,-4.833543,0.009742
1.765,-0.1,-0.009208,-1.165201,0.009617
1.77,-0.072362,-0.009208,2.302136,0.009617
1.775,-0.072362,-0.001168,5.970477,0.01125
1.78,-0.074874,-0.009208,9.437814,0.009617
1.785,-0.072362,-0.009208,7.151382,0.011627
1.79,-0.072362,-0.009208,3.684045,0.010496
1.795,-0.072362,0.005365,0.015704,0.009994
1.8,-0.072362,-0.00167,-3.640075,0.009742
1.805,-0.072362,-0.009208,-7.057161,0.010245
1.81,-0.112563,-0.012726,-10.788317,0.010747
1.815,-0.0799,-0.001168,-7.496859,0.01125
1.82,-0.072362,-0.001168,-4.029523,0.011501
1.825,-0.072362,-0.009208,-0.361181,0.009617
1.83,-0.08995,-0.009208,3.194096,0.010496
1.835,-0.0799,-0.001168,6.774498,0.009617
1.84,-0.072362,-0.00167,10.015704,0.009742
1.845,-0.1,-0.011721,6.548367,0.010999
1.85,-0.072362,-0.013731,2.67902,0.009617
1.855,-0.072362,-0.001168,-0.826005,0.009617
1.86,-0.072362,-0.009208,-4.255653,0.009742
1.865,-0.072362,-0.009208,-8.062186,0.009617
1.87,-0.072362,-0.009208,-10.361181,0.009617
1.875,-0.105025,-0.001168,-6.692839,0.009994
1.88,-0.074874,-0.009208,-3.21294,0.011627
1.885,-0.1,-0.009208,0.58103,0.010999
1.89,-0.094975,-0.012726,3.910176,0.010496
1.895,-0.072362,-0.001168,7.616206,0.011627
1.9,-0.074874,-0.009208,9.023241,0.011501
1.905,-0.072362,-0.011721,5.606156,0.011627
1.91,-0.072362,-0.009208,1.875,0.011627
1.915,-0.105025,-0.001168,-1.592337,0.009994
1.92,-0.072362,-0.00167,-5.248116,0.009742
1.925,-0.072362,-0.014736,-8.866206,0.010245
1.93,-0.094975,-0.009208,-9.469221,0.010747
1.935,-0.072362,-0.001168,-5.851131,0.009994
1.94,-0.072362,-0.001168,-2.220477,0.009617
1.945,-0.072362,-0.009208,1.246859,0.011627
1.95,-0.094975,-0.009208,4.915201,0.010496
1.955,-0.0799,-0.001168,8.583543,0.009617
1.96,2.219095,-0.009208,8.219221,0.063888
1.965,2.219095,-0.009208,4.601131,0.063888
1.97,2.241708,-0.013731,1.07098,0.063888
1.975,2.219095,-0.001168,-2.434045,0.062632
1.98,2.219095,-0.00167,-6.052136,0.065773
1.985,2.219095,-0.011721,-9.594849,0.062506
1.99,2.219095,-0.009208,-8.665201,0.063888
1.995,2.219095,-0.001168,-4.883794,0.065521
2,2.219095,-0.008706,-1.416457,0.065773
2.005,2.219095,-0.00368,2.113693,0.063888
2.01,2.219095,-0.013731,5.719221,0.063888
2.015,2.219095,0.005365,9.224246,0.065521
2.02,2.219095,-0.008706,7.415201,0.064014
2.025,2.219095,-0.011721,3.797111,0.064642
2.03,2.219095,-0.009208,0.26696,0.063888
